id,screen_name,utc_offset,description,location,created_at,text,retweet_count,favorite_count
941095241112866816,katherineNLb,-10800,"Eternal optimist, spreadsheet goddess and karaoke fan.","London, England",Wed Dec 13 23:59:24 +0000 2017,@SW_Help Thanks for all of the super informative announcements at Waterloo this evening #Sarcasm #PleaseJustGetUsHome,0,0
941094820914835456,Pwilds121,-18000,Red Sox homer. Unofficial President of the Matt Ryan Fan Club! Ga Tech supporter. THWg. Father of soon to be 4.husband of 1.,"Villa Rica, GA",Wed Dec 13 23:57:44 +0000 2017,@GAFollowers Good...I was just thinking there haven’t been enough superhero movies made... #Sarcasm,0,0
941094606778839040,ELGeddes,-21600,"Father, Banker, Fightin' Texas Aggie",Resident of San Antonio,Wed Dec 13 23:56:53 +0000 2017,@MatthewBerryTMR Collision or collusion? #spellingishard #sarcasm,0,1
941094017881718784,muricap3wp3w,None,"Father/Husband/Son/Brother/Uncle
Fan of: Seahawks / Senators / Blue Jays","Ottawa, Ontario",Wed Dec 13 23:54:33 +0000 2017,@ian_mendes Glad he kept it professional. #sarcasm,0,0
941093416062025728,maddy_spice,-21600,I'm not interested in preserving the status quo; I want to overthrow it. -Machiavelli,,Wed Dec 13 23:52:09 +0000 2017,Noooo really?! #HaHa #Sarcasm https://t.co/taCdAlg2H8,0,0
941092453108498432,cxarli,-28800,Gay Unitarian Universalist Esperanto speaker who reads Fantasy & Science Fiction and loves to travel. Hablo español también. #Resist #IamANTIFAscist,"San Francisco, CA",Wed Dec 13 23:48:20 +0000 2017,@CathyTX @StarfireCity Health care? What health care?  Planned Parenthood just kills babies!  #sarcasm,0,2
941092018826047488,Ann_InTheMoment,None,"scientist, mother, American, daughter and sister to USN vets",,Wed Dec 13 23:46:36 +0000 2017,@ForrestOrme @cathymcmorris @IvankaTrump #sarcasm 😀,0,1
941091334709846016,alexburrola,-28800,"Dad, libertarian, ""leading GOP strategist"" per @LATimes, and aspiring jazz singer. #NeverTrump. Now an ex-Republican, but always a bad influence.","Orange County, Southern CA",Wed Dec 13 23:43:53 +0000 2017,"Boy, that was a fun year. #notreally #sarcasm https://t.co/KBeMdPJALj",0,0
941091122914430978,joemnc40,None,🇺🇸👊🏻👊🏽👊👊🏿👊🏽👊🏼🇺🇸,"Charlotte, NC",Wed Dec 13 23:43:02 +0000 2017,@nytimes @AllResistNews What’s the big rush?  #SARCASM,0,0
941091094078648321,THWND2978,None,,"Montgomeryville, PA",Wed Dec 13 23:42:56 +0000 2017,@SportsInsight0 @JohnBarchard Yeah what were the Eagles going starting Wentz over Foles!! He has numbers in stats t… https://t.co/fFyby57h8G,0,0
941090974750642176,deleted_jfilli6,None,,"Nixa, MO",Wed Dec 13 23:42:27 +0000 2017,@CharlieMarlow_ Wouldn’t you rather have the guy that will hit a grounder up the middle with somebody at 3b than th… https://t.co/QMce1wKzPE,0,1
941090777433886720,therealbehills,None,,,Wed Dec 13 23:41:40 +0000 2017,"RT @DineshDSouza: Don’t you see? Women are scared to speak out for years, even decades, until a Republican declares his candidacy #Sarcasm…",1955,0
941090622382977025,xxGeorge1892xx,0,,"Belfast, Northern Ireland",Wed Dec 13 23:41:03 +0000 2017,#shelvey sent off? What a surprise! #sarcasm  #motd #NEWEVE,0,0
941088609821773825,MattGre93053443,None,,,Wed Dec 13 23:33:03 +0000 2017,Well gee ... I wonder WHY! #sarcasm #adnauseam https://t.co/ZF4FKSM0Pp,0,0
941087992671866881,sarcasticalarm,None,"Not so ordinary Girl. Wine is Life, Sarcasm is oxygen.  #Sarcasm #Sarcastic #design #humor #funny","London, England",Wed Dec 13 23:30:36 +0000 2017,Can you see the fuck you https://t.co/FfAql7Ypvm via redbubble #Sarcasm #Tshirt #Funny,0,0
941087803278090245,DEVILZSM,-28800,Crazy and scarstic humour 😆🤣🤣,,Wed Dec 13 23:29:51 +0000 2017,"is a pisser! Check out for visually pleasing memes.(RP
#hahaha #sarcasm #cool #happy #jokes #devilzsmile #laughter… https://t.co/JBBuWFK4hI",0,0
941087749045669888,jessicadroeger,-21600,"Former corporate lawyer who still loves a good argument. Racist, sexist, willfully ignorant bullshit will not be tolerated in this establishment.","Chicago, IL",Wed Dec 13 23:29:38 +0000 2017,@DinkyDoodles @Active_Physique @Mikel_Jollett @RuthLym @GOP Wow I sooooooo love libertarian bullshit. #sarcasm We c… https://t.co/EL5Ad7j7fH,0,1
941086719453081606,CMoruq,None,"#COdominance #COnfusion... bluepilled, chillaxed type of guy... #serialchiller #chainsmoker truth ≠ honesty ≠ genuineness #exquisitecorpse Viva la futilitarisme","Istanbul, Turkey",Wed Dec 13 23:25:33 +0000 2017,"With the way the Chinese productive economy has infiltrated the world markets, it would appear that Trump’s claim t… https://t.co/HMgeOdCwNy",1,0
941086654877577221,DKadric313,None,"LC Alum '15, Gamer, PC builder, die hard Eagles fan.","Virginia, USA",Wed Dec 13 23:25:17 +0000 2017,Can't wait until tomorrow when everyone gets to pay more for internet and gets throttled again. Oh the joy. #sarcasm #NetNeutrality,0,0
941086611802030080,sohaibahmedu,None,Naughty Boy  |  Tharkio Ka Dushman |,"Mianwali, Pakistan",Wed Dec 13 23:25:07 +0000 2017,"""RT yashsus: You know our system is flawed when niggas out there believe cats are more important than dogs"" #sarcasm",0,0
941086002596028416,blackfonzy71,None,I'm a bread winner 619 Born and Raised,"Las Vegas, NV",Wed Dec 13 23:22:42 +0000 2017,"@realDonaldTrump I don't know about the deck, but his overwhelming lack of judgement &amp; comments about slavery, gay… https://t.co/SSvrmyn8YE",0,0
941085585871122433,scott_newbridge,0,26. Former Pub Landlord.,Newbridge ,Wed Dec 13 23:21:02 +0000 2017,Group thinking creates Cult mentality. #EverythingIsAConspiracy #WakeUp #Duh #Sarcasm,0,0
941085480136798208,40andfried,-28800,40-Something & Fried tells it like it is for moms that might be a little burned out from being everything to everybody. #parenting #midlife #momlife #40andfried,"Colorado Springs, CO",Wed Dec 13 23:20:37 +0000 2017,#keepitreal with @AmericanWifeABC #momlife #sarcasm #40andfrid https://t.co/gDpnn4tTtz,0,2
941085428278484994,MargaretLongor3,-28800,"Worked in the banking industry 38 years, married and parent of two children, conservative political views. Trump-Pence supporter.",,Wed Dec 13 23:20:25 +0000 2017,"RT @DineshDSouza: Don’t you see? Women are scared to speak out for years, even decades, until a Republican declares his candidacy #Sarcasm…",1955,0
941085279191830528,bdlaker,None,I am a huge fan of games of all types and sports.,Calgary Alberta,Wed Dec 13 23:19:49 +0000 2017,@EricFrancis will anyone care when calgary moves the stamps to Lethbridge #sarcasm,0,2
941084069172953088,17thCard,None,"The worst enemy of the powerful elite is an informed public! | 10% Sugar Tax | HYDROGEN | Don't come the raw prawn with me, mate! | 1958+ | RT's = Interesting!",Straya,Wed Dec 13 23:15:01 +0000 2017,"@russellcrowe @OzKitsch Shoe polish on a stick - 😋 yum!

(#sarcasm)",0,2
941083430154067968,NicolaBarney,0,Actor. Mountview Grad. Rather Tiny. Represented by @SoundcheckGrp. Wendy - Peter Pan - Floral Pavilion.,Alderley Edge/ London ,Wed Dec 13 23:12:28 +0000 2017,My digs bedroom features a spacious firm single bed with lots of room to toss and turn. #sarcasm #Iwantostarfish,0,1
941083385396695041,TwitchEddy,-21600,Vintage-Antique Motorcycle Mechanic and General Idiot 🙄,"Montréal, Québec",Wed Dec 13 23:12:18 +0000 2017,"So, hot chocolate, tortilla chips, mint tea and ... spite? 🙄 #motivationalquote #inspirational #sarcasm https://t.co/oOL3LsQRJ7",0,0
941083059146903552,KanigMarketplac,-18000,Love fabulous finds and reselling!  https://t.co/ppcTzNlunv #clothing #mensfashion #womensfashion #children #books #games #toys #tshirts #toys,"Newport News, VA",Wed Dec 13 23:11:00 +0000 2017,https://t.co/fiVliYlQf7 #sarcasm #satire #saucy #cheeky #lol #DoingItWrong #wrong #confused #awkward #shirt #shirts… https://t.co/h2mzcmnXYH,0,0
941081613185646592,TheGeeScott,-28800,"Auctioneer. Sidekick on the John Clayton Show. 10-12pm Mon-Fri. Seahawks Insider for https://t.co/XK1EEceZYK. Like I said, I'm an Auctioneer. @AuctioneerGee","Seattle, WA. ",Wed Dec 13 23:05:15 +0000 2017,"Oh ok, well now that we know that, that child being bullied is ok right? #Sarcasm https://t.co/1UaBxWM5PF",0,48
