id,screen_name,utc_offset,description,location,created_at,text,retweet_count,favorite_count
937817532961927168,simontonekham,-18000,"The views expressed in this resource are mine. All similarities living or dead is purely coincidental. RTs/Likes does not mean endorsements, etc.","Ajax, Ontario, Canada",Mon Dec 04 22:54:58 +0000 2017,"I haven't had @PizzaPops in a while. Maybe i should buy some in the future (no #sarcastic comments, please).

Might… https://t.co/oXaC8VeTew",0,0
937793732677693440,cappsie,0,"I am a sceptic, an atheist and abhor injustice.",Essex,Mon Dec 04 21:20:23 +0000 2017,"Supreme court backs Trump travel ban.
#Sarcastic #SlowApplause https://t.co/OkDsBNk1ln",0,0
937749496888463360,shana_125,-28800,😍I LOVE MY FAMILY,India,Mon Dec 04 18:24:37 +0000 2017,#bandung #jogja #makassar #bali #aceh #papua #kalimantan #sulawesi #komunitas #mahasiswa #sumatera #fakta #dahsyat… https://t.co/Pw4ew6ugL8,0,0
937747007992664064,shana_125,-28800,😍I LOVE MY FAMILY,India,Mon Dec 04 18:14:43 +0000 2017,#bandung #jogja #makassar #bali #aceh #papua #kalimantan #sulawesi #komunitas #mahasiswa #sumatera #fakta #dahsyat… https://t.co/yIg8xTT9jd,0,0
937741380310487047,DanielleEren,0,,gerrards Cross,Mon Dec 04 17:52:22 +0000 2017,@Secretsales Classic message from #secretsales - #sarcastic horrible #customerservice,0,0
937698083026194434,sarcasticalarm,None,"Not so ordinary Girl. Wine is Life, Sarcasm is oxygen.  #Sarcasm #Sarcastic #design #humor #funny","London, England",Mon Dec 04 15:00:19 +0000 2017,No fucks https://t.co/dVQ3qgUA27 via #Sarcastic #Tshirt #Funny #FunnyTshirt,0,0
937695062779154432,RobinEdgar,-18000,Photographer & Videographer Basking In The Untold Glory Of Being Falsely Accused Of The Crime Of #BlasphemousLibel By #BatShitCrazy Atheist Unitarians LOL!,Soviet Canuckistan,Mon Dec 04 14:48:19 +0000 2017,"RT @RobinEdgar: @titocurtis Bonjour Hi Jess,

Je peux être trompé, mais je pense que Christopher Curtis is probably just being #sarcastic.…",1,0
937695039895080960,RobinEdgar,-18000,Photographer & Videographer Basking In The Untold Glory Of Being Falsely Accused Of The Crime Of #BlasphemousLibel By #BatShitCrazy Atheist Unitarians LOL!,Soviet Canuckistan,Mon Dec 04 14:48:13 +0000 2017,"@titocurtis Bonjour Hi Jess,

Je peux être trompé, mais je pense que Christopher Curtis is probably just being… https://t.co/OWx2SUrl2r",1,1
937684310513025027,GaryHoover1,None,"#author of the Land of Nod Trilogy.  Tweeting #books, #cars, #motorcycles, #space, #superheroes, #scifi, #fantasy, #technology, #movies, #travel - anything cool",South Jersey,Mon Dec 04 14:05:35 +0000 2017,RT @danthesith: Dee's morning musing #deedragon #cartoon #thestruggleisreal #totallyrelatable #webcomic #sarcastic #cute #MondayMotivation…,1,0
937682731068215296,danthesith,None,"Currently allocated Humanform meat sack. Cubicle dweller by profession, self taught artist by passion. Creator of Dee Dragon, other characters.","Sol III, Terran System",Mon Dec 04 13:59:19 +0000 2017,Dee's morning musing #deedragon #cartoon #thestruggleisreal #totallyrelatable #webcomic #sarcastic #cute… https://t.co/DMTTanLjxV,1,3
