id,screen_name,utc_offset,description,location,created_at,text,retweet_count,favorite_count
924378984128933888,WendoCollo,None,HE WHO IS HIT BY CLUB RETURNS BUT HE WHO IS HIT BY JUSTICE NEVER RETURNS #rEGRETScOMESaFTER. @wendocollo,"Nairobi, Kenya.",Sat Oct 28 20:54:58 +0000 2017,@TIME sadfull #ironical,0,0
923910445936898048,smstahir,18000,"Do not allow the pain of loss, to stop the process of living. Write what I Found Right.",Islamabad Pakistan,Fri Oct 27 13:53:10 +0000 2017,@Dawn_News Picture of Quaid i Azam Univeristy Islamabad and news of sindh #ironical,0,0
922913291604766720,MoorheadOrch,-18000,Twitter for Moorhead's Middle School Orchestra,Moorhead Minnesota,Tue Oct 24 19:50:50 +0000 2017,A new 5th grade student wore her older sister’s “Bump it Bro” on Bow Hold day.   #ironical (btw the she had a bump… https://t.co/M52KGOprCC,0,17
922873905030844416,RKBA_Atty,-14400,,,Tue Oct 24 17:14:19 +0000 2017,@BrianMarlatt @BasedKielbasa @OpenCarryMag @Dstroyr_U2b @gillis_lester @downrangewithcw @nysafeact @quackerwhackr91… https://t.co/WIBSdFiKZ5,0,1
922826632003571713,Dudman61,None,,,Tue Oct 24 14:06:29 +0000 2017,@charliecosmic75 @BreitbartNews How #Ironical. The original #FameWhore herself.,0,1
922614517187645440,docmartincohen,-25200,"Philosophy Editor, author and freelancer - applying philosophy to everyday life (sometimes with unexpected results)",Brighton UK and Bayonne France,Tue Oct 24 00:03:36 +0000 2017,"@remain_campaign @iStove In a way, it looks like money wasted. Why isn't the UK government spreading it's wealth around better? #ironical",0,0
922584601154928640,kellystillborn,None,"REVER WARS [actor,model,musicshin]",Nowhere Land 📼,Mon Oct 23 22:04:44 +0000 2017,"I coughed right when big L said ""cough it out"" during 
FURIOUS ANGER😲
#ironical #irony #timing",0,0
922533405715185665,AdMan0828,-25200,"Advertising, marketing, skeptic and advocate of both. I try to ask questions that matter. Beware - this feed might go mental on Edmonton Oilers game nights.","Edmonton, Alberta - AKA Hoth",Mon Oct 23 18:41:18 +0000 2017,@rascalgas That’s SO millennial! #Ironical,0,1
922487363082731520,Anchal2103,None,"A loving human being,who believes there is no second ME in the world ;)•°˚˚★",Mumbai,Mon Oct 23 15:38:21 +0000 2017,Had neem juice..need some bitterness as I love someone  who petends to be bitter..but is sweetest!! #ironical,0,0
922207552250761217,derekbeaugarde,0,Author 2084 The End of Days: #scifi novel of seven men & women across the globe drawn together by the main event #ARMAGEDDON check it at https://t.co/sXr3hZdpMz,"Glasgow, Scotland",Sun Oct 22 21:06:28 +0000 2017,"T'was a pen that wrote the #2ndAmendment US gun laws, therefore, the pen is indeed mightier than the sword. #ironical",0,1
922157778256441345,iLiloks,-25200,#HakunaMatata🐒CriminologistCriminalist☠️Fun🍻Sports🎾⚽️ExploreTraveler HumanRightsDefender🏳️‍🌈💪🏼AnimalLover🐴🐶 LearnLiveBeYourself🐉WithinTemptation🤘🏼🖤,Everywhere,Sun Oct 22 17:48:41 +0000 2017,"How #ironical is our life the person who wants you text you and u ignore her, you text the person you want and ignores you 🤷🏻‍♀️!
-. iLiloks",0,0
