id,screen_name,utc_offset,description,location,created_at,text,retweet_count,favorite_count
937833589085036545,ChrisJacksonWPS,-21600,"Contributor for the @Fansided college football page, @SaturdayBlitz. Arkansas Razorback fanatic and college football addict. Libertarian. #WooPig","Little Rock, AR",Mon Dec 04 23:58:46 +0000 2017,RT @MitchMustain: There’s literally an entire sub-thread about how I can’t move on #irony So let me get this right: a figurative room of st…,1,0
937833435367919618,ChrisJacksonWPS,-21600,"Contributor for the @Fansided college football page, @SaturdayBlitz. Arkansas Razorback fanatic and college football addict. Libertarian. #WooPig","Little Rock, AR",Mon Dec 04 23:58:09 +0000 2017,@MitchMustain And you're still going? You can check my posts and not once will you find your name before yesterday… https://t.co/6gsTBU6Gqr,0,4
937831639211823105,TobyGotSchneier,-18000,#Artist #Painter #art #Judaism #paintings #oilpaintings #holocaust #shoah #Expressionism #Exhibited,"Fort Lauderdale, FL",Mon Dec 04 23:51:01 +0000 2017,"""DECEMBER""
#oiloncanvas (24"" x 30"")
Would make a FABULOUS #PRINT as well...
Well priced for the #originalpainting..… https://t.co/YrTM9Tty11",0,0
937830273625944064,zepedachemical1,None,,,Mon Dec 04 23:45:35 +0000 2017,@CalmDeion Are you serious??? That's my impression too!!!!😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱My reasoning is that Neo… https://t.co/xSgeEZnuTK,0,0
937829213591060480,MitchMustain,-25200,Res Ipsa Loquitur,Arizona,Mon Dec 04 23:41:23 +0000 2017,There’s literally an entire sub-thread about how I can’t move on #irony So let me get this right: a figurative room… https://t.co/wtX3NYKRff,1,19
937828848908955649,DrGCrisp,28800,"GP, Environmental Health; Air pollution, Biodivesity Loss, Climate change.
SDoH / Inequality 
Doctors for the Environment Australia.
Keyboardist 80's.inc",,Mon Dec 04 23:39:56 +0000 2017,@JoshButler A satisfying blend of #irony and #schadenfreude,0,3
937828074380496898,markjhooper,0,#Family @indycube @basicincwales @SocialCapWales @FdnEconWales @YesCaerdydd @Wales_Is_ @MarkHooperPlaid @bevanfoundation @cardiffpound #1911group My views ex RT,Cymru,Mon Dec 04 23:36:51 +0000 2017,‘Workers rights in the UK are the strongest in the western world.’ According to the #kukd guy who used Welsh Govt m… https://t.co/SlkmlZ5l3l,3,12
937827077952118785,JCBeausoleilMD,-21600,"#FOAMed embracing EM doc! @UPennEM schooled! @HGHED trained! @UUtah Sports Med Fellowship! Loves MSK, US, justice! My views ain't medical advice. Giddy up!","Oakland, CA",Mon Dec 04 23:32:54 +0000 2017,@DrJaimeFriedman @JahanFahimi Bu-bu-bu-bu-but it’s not magic?! #irony #watchandwait #donoharm,0,2
937826901434949632,_dwrhodes_,-28800,"Call me Dave 😎

Busily removing those pesky alien implants 👽 San Francisco Tourguide 🌉 Author of numerous books not yet written 📚 Follow @coffeesister too ☕","San Francisco, CA",Mon Dec 04 23:32:11 +0000 2017,"He always looks constipated in these frames, yet tons of shit flows from him all day long.

#irony https://t.co/0RCLORWu9O",0,0
937826222045724672,MattM3502,-36000,,"California, USA",Mon Dec 04 23:29:29 +0000 2017,RT @UnitersCentrist: #Irony https://t.co/9H1A3cG08B,2,0
937826029057568768,gdn_intd2001,None,"Gender and Development Network INTD2001 2017

- for class purposes only",United Kingdom,Mon Dec 04 23:28:43 +0000 2017,We also question your choice of gif given the controversies around gender equality that exist under Trump's preside… https://t.co/xoBRdOF6RH,0,7
937825740028088320,TheWildManimal,None,"Graphic Designer / Administrative  Assistant / Musician and Rocker 24/7

Relationship status - Engaged

*Account w/ cynicism, irony & satire*

#HardWorker ✌🏼😎🤘🏼",Mexico City,Mon Dec 04 23:27:35 +0000 2017,"#ChismoTweet #FunnyClowns #DisparaMargot #LOL hahaha :')

#Irony

Público Abuchea a #Yuri y ella les pide que se Ed… https://t.co/m9chGVKORZ",0,0
937824458919895041,The_Modhvadia,0,"Used to mostly tweet about sport but now mostly politics, occasionally films TV & philosophy & very rarely healthcare. #ethereum #Bitcoin enthusiast #LFC #JFT96",,Mon Dec 04 23:22:29 +0000 2017,@charloteamstall Yep. Honest to the core. #irony,0,0
937821732685172736,Yakherders,-28800,Herder of Crypto and Yaks. Offering Opinions on the World Of Cryptocurrency. Part Time Scam Killer.,Himalayas,Mon Dec 04 23:11:39 +0000 2017,"@EthereumJ @CryptoKitties Nah, #irony would be if this cartoon Yak clogged up an entire blockchain network. Otherwi… https://t.co/EUzyr3kqb6",1,2
937821324734554112,EthereumJ,-28800,,,Mon Dec 04 23:10:02 +0000 2017,"@Yakherders @CryptoKitties Wow, this is coming from a cartoon Yak.  #irony",0,1
937819886885179392,pabsagain,-28800,"Periodista, bueno, en proceso de serlo. Muy fan de Oasis, el cine y la pizza sin piña.

Redactor en VAVEL Inglaterra y VAVEL NBA.","Madrid, Comunidad de Madrid",Mon Dec 04 23:04:19 +0000 2017,#irony,0,0
937819592600309767,Catpack281,-28800,...,"North Hollywood, Los Angeles",Mon Dec 04 23:03:09 +0000 2017,Just saw a Bernie sticker next to a Thomas Paine one #Irony,0,0
937819530864267265,Pickle2884,0,"Cat lover, bigot hater, left winger, right thinker. Sceptical of undeserved authority so atheist Reasonably creative guitarist. Takes a pic or two....",,Mon Dec 04 23:02:54 +0000 2017,Of course #irony of #DUP &amp; #brexiteers is that #NIreland voted to stay in the #EU anyway and here's the #DUP… https://t.co/5RRBIU322o,0,1
937818320480362496,Resistance2020,-28800,"“There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.” 
― Elie Wiesel","Newport Beach, CA",Mon Dec 04 22:58:06 +0000 2017,@foxandfriends Pot calling the kettle black #irony,0,0
937818102905147392,janeshortsweet,-21600,"Exceptionally unique, effective & aromatic sugar scrubs; committing profit to under-served women, hiring students from https://t.co/qCG4qU0ceW. Sweet, huh?","Winter Park, FL",Mon Dec 04 22:57:14 +0000 2017,@CNN #irony,0,0
937817298123010048,FriendOfThurlow,-21600,All of Human (Including American) History Affirms [Proves] that Jesus Christ Is the Son of the Living God #History #Federalists #Whigs #GOP,"By the Grace of God (TY), TX",Mon Dec 04 22:54:02 +0000 2017,"Funny bc in Many Muslim Countries There's a Ban on Christians, Jews and Others Holding Office, Practicing Their Fai… https://t.co/jlXHBtYYGd",0,0
937815026999681025,pennyfrulla,None,"Liberal, doting mother, wedding expert, seamstress, fag hag, workaholic, project junkie, DIY Diva, proud Teamster wife.",Chicago Suburbs,Mon Dec 04 22:45:00 +0000 2017,@CNN Lmao #irony .,0,0
937814487494782976,mariusz74,3600,🤡,"Wroclaw, Poland",Mon Dec 04 22:42:52 +0000 2017,@tim_cook We (macOS/iOS users) see you have huge problems with quality of your software. How could we help you? Do… https://t.co/RQgqHdkqdq,3,4
