id,screen_name,utc_offset,description,location,created_at,text,retweet_count,favorite_count
925114624323723264,btriz93,-25200,Snapchat @btriz93 bookingbtriz93@yahoo.com,,Mon Oct 30 21:38:08 +0000 2017,Officer “perks” 18 Officer/ record subpoenas 😩. #NotPerks #Sarcastic,0,0
925111266586255360,sarcasticalarm,None,"Not so ordinary Girl. Wine is Life, Sarcasm is oxygen.  #Sarcasm #Sarcastic #design #humor #funny","London, England",Mon Oct 30 21:24:48 +0000 2017,https://t.co/65TMxr3Njk #sarcastic #sarcasm #humor #funny  #sarcasticmemes https://t.co/v2vCE1GsxT,0,0
925110671544594432,DPMHall,-25200,Daniel Hall Just a 10.5 stone six foot man of the people to some but not a lot Marine FC politics snooker hit and miss one-liners views are mine,"Liverpool, Merseyside",Mon Oct 30 21:22:26 +0000 2017,RT @susanwinters01: @DPMHall That's Twitter for you. #sarcastic,1,0
925110619728211969,susanwinters01,None,"The question isn't who's going to let me, it's who is going to stop me? ❤er of penguins, martinis, much vinyl & lots of designer shoes. Made In Charlton #cafc.",Sarf of England 🚘,Mon Oct 30 21:22:14 +0000 2017,@DPMHall That's Twitter for you. #sarcastic,1,1
925096439541321728,judehaste_write,-25200,"#Comedy #Indie #Writer & #AntiBullying Advocate. #raisingawareness : #bullying in the work place. Look after your mental health.
No Porn thanks I am fine!",in limbo,Mon Oct 30 20:25:53 +0000 2017,RT @JanRomes: No Sweat Pants Allowed - Wine Club #sassy #sarcastic #humor https://t.co/ClriEWkDKu Bk #1 - Wine and Sweat Pants series #Auth…,514,0
925091867708018688,BeerDharma,-18000,Instagram: @beerdharma,"New York, NY",Mon Oct 30 20:07:43 +0000 2017,"@JohnFugelsang Yeah but maybe she misspelled it in one of her missing 30,000 emails?!??! 

#sarcastic
#butterymales",0,0
925085525815562241,JeffKasky,-14400,Bestselling co-author of 99 Things You Wish You Knew Before Choosing Adoption. New titles: Amercn Bar Ass'n Guide to Adoption & Guide to Assisted Reproduction.,"Delray Beach, FL",Mon Oct 30 19:42:31 +0000 2017,Fake news! MAGA! #sarcastic https://t.co/Tgc66Uhc4g,0,0
925078972467220481,SarcasticJohnny,None,,,Mon Oct 30 19:16:28 +0000 2017,#sarcasm #sarcastic https://t.co/PIaJTIVyFl,0,0
925060140461633536,faroow74,-14400,"100% Real , 0% Bitch, Last Of A Dying breed 2012 Gangster ot the year respect me or fear me #74TillTheWorldBlOW #Sandniggashit",LA|NY|TX|MIA|Vegas |DMv ✈ ✈️,Mon Oct 30 18:01:38 +0000 2017,@SpadesKiko Best QB Kirk Cousins #Sarcastic #httr,0,0
925055266609131525,faroow74,-14400,"100% Real , 0% Bitch, Last Of A Dying breed 2012 Gangster ot the year respect me or fear me #74TillTheWorldBlOW #Sandniggashit",LA|NY|TX|MIA|Vegas |DMv ✈ ✈️,Mon Oct 30 17:42:16 +0000 2017,@SpadesKiko you guys did such a wonderful job as usual #Httr #Sarcastic 😁 hit my line G,0,0
